Condition,Generation,width(um),Lb(um),Ld(um),growth rate(1/min),Doubling time(min)
"Gel pad, LB",G1,0.938370928,3.031899571,5.427556984,0.006564355,88.20469149
"Gel pad, LB",G1,1.113506404,3.333028271,5.372630947,0.008126063,59.12349043
"Gel pad, LB",G1,1.218190302,3.030090067,5.797426583,0.009137891,71.36520817
"Gel pad, LB",G1,1.008227043,2.698622964,5.160094015,0.00770673,84.47631094
"Gel pad, LB",G1,1.061002106,3.027209534,4.981853842,0.007292861,68.76172436
"Gel pad, LB",G1,1.08413425,3.002169012,5.334233613,0.006648863,86.95421559
"Gel pad, LB",G1,1.180115339,3.014256946,4.636597297,0.007829795,55.42297044
"Gel pad, LB",G1,0.977470359,3.208776267,6.113062373,0.007867543,82.32042832
"Gel pad, LB",G1,1.056062291,3.079807711,5.607478818,0.007260169,82.98516329
"Gel pad, LB",G2,0.999799388,4.016373012,7.075850404,0.010205405,55.24736048
"Gel pad, LB",G2,0.967198578,4.051661175,6.093286075,0.009130117,44.42390773
"Gel pad, LB",G2,1.015372032,2.839788465,4.722579467,0.007363828,69.54985535
"Gel pad, LB",G2,1.003132308,2.996124486,6.56051782,0.008166871,96.37633667
"Gel pad, LB",G2,0.878124636,3.064578691,6.004529703,0.008182867,82.59604205
"Gel pad, LB",G2,1.028500267,3.005723586,5.053986613,0.008200519,63.77541966
"Gel pad, LB",G2,1.099263632,2.559567695,4.437558704,0.008109041,68.34107224
"Gel pad, LB",G2,0.987861551,3.124738853,5.647843098,0.009022367,65.96144671
"Gel pad, LB",G2,0.990496123,3.568746503,8.032092064,0.009475843,85.90651946
"Gel pad, LB",G2,0.985910773,3.067660749,6.044307045,0.009435067,72.22701422
"Gel pad, LB",G1,1.098591011,4.276956922,6.22170063,0.008259218,45.66320779
"Gel pad, LB",G1,1.29331566,4.251296292,5.762859272,0.007149603,42.87857496
"Gel pad, LB",G2,1.10731831,3.505943017,5.38200066,0.008078833,53.40585974
"Gel pad, LB",G2,1.035899424,3.427348197,5.888919613,0.007844566,69.37384579
"Gel pad, LB",G1,1.111247744,4.039569972,7.888966013,0.008731462,76.94077033
"Gel pad, LB",G1,1.125194023,3.10940376,5.529516707,0.007571209,76.45947625
"Gel pad, LB",G1,1.121379644,4.394965932,6.704302516,0.008014064,52.97782208
"Gel pad, LB",G1,1.145613074,3.002919131,4.680754296,0.005823658,76.79195404
"Gel pad, LB",G1,1.126174043,3.420591818,5.065134593,0.005815699,68.0047072
"Gel pad, LB",G1,1.034304355,3.514020567,7.498856999,0.006682781,113.8507338
